ala_search_term,common_name,assess,vic_taxon_id,taxon_concept_id,delwp_taxon,delwp_common_name,taxon_level,sort,split,category,group,nc_raw_ala,Ne_adjust,DBSCAN_MinPts,n_raw_vic,pc_raw_vic,n_filtered,pc_recs_filt,n_filt_vic,pc_filt_vic,n_states,n_ibra7,n_nrm2017,n_subsp,n_sci_nm,cons_status,total_aust_popn_size,australia_distrib,popn_separation,vic_popn_trend,dispersal_capacity,dispersing_sex,fire_survival,fire_rating,male_disp,fem_disp,epsilon, vic_popn_size ,disperse_model,resist_model_type,guild,sub_guild,dispersal_conf,dispersal_method,reproduce_mode,ave_gen_time,gen_time_group,hybrid_risk,r_or_k_strat,mtdna,micro_sats,snps,genetic_misc,allozyme,any_genetic_data,Gen_data_main,WoS_hits_July19,popn_structure,inbreed_evidence,genetic_diversity,reduced_ne,data_quality_issues,genetic_data_utility,locally_adapted,rescue_potential,re_establish_potential,future_impacts,provenance_potential,diversity_potential,outbreed_risk,gen_data_priority,case_study,alt_latin_names,victorian_sub-species,other_alt_common,delwp_alt_common,attrib_data,assessed_1,maturity,longevity,fire,soil_seed,pollen_disp,w_logged,Woody,seeds_disp,useful_gen_data,vic_presence,vic_adv_status,epbc,ffg_act,class,superorder,order,family
Pseudophryne dendyi,Dendy's Toadlet,ALA,13120,urn:lsid:biodiversity.org.au:afd.taxon:f30c9f98-0427-44ac-8e84-01d3713b9cc3,Pseudophryne dendyi,Dendy's Toadlet,Base,35,Herps,Anurans,Ground frogs,3089,0.1,3,2585,83.7%,1078,34.9%,837,77.64%,3,8,11,0,1,DD,"> 10,000",Most in Vic,Recent,rapid,Very Low,Both,,5,1,1,2.0,36694,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Not Expected,Primary,,,,,Southern Toadlet,,,,,,,,,,,,,DD,,,,,,
Pseudophryne semimarmorata,Southern Toadlet,ALA,13125,urn:lsid:biodiversity.org.au:afd.taxon:9f0dcefa-a8b2-4591-a30c-f91576aea438,Pseudophryne semimarmorata,Southern Toadlet,Base,36,Herps,Anurans,Ground frogs,4562,0.1,3,4121,90.3%,1242,27.2%,1069,86.07%,4,18,14,0,1,VU,"> 10,000",Most in Vic,Both,rapid,Very Low,Both,,5,1,1,2.0,58135,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Not Expected,Primary,,,,,,,,,,,,,,,,,,VU,,,,,,
Uperoleia laevigata,Smooth Toadlet,ALA,13158,urn:lsid:biodiversity.org.au:afd.taxon:ec962725-8ede-4d56-a6cc-ccfde88fe0e2,Uperoleia laevigata,Smooth Toadlet,Base,37,Herps,Anurans,Ground frogs,4431,0.1,3,147,3.3%,3107,70.1%,46,1.48%,4,14,21,0,1,DD,"> 10,000",Minor in Vic,Both,okay,Very Low,Both,,5,1,1,2.0,6342,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,Data def,Data def,Data def,Data def,,,Possible,Redundant,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,,,,,,,,,,,,,,,,,DD,,,,,,
Uperoleia martini,Martin's Toadlet,ALA,13930,urn:lsid:biodiversity.org.au:afd.taxon:b814b4c7-1780-4dd4-9223-1217f425fe14,Uperoleia martini,Martin's Toadlet,Base,38,Herps,Anurans,Ground frogs,113,0.1,3,110,97.3%,50,44.2%,49,98.00%,2,3,4,0,1,CR,2K to 10K,Only in Vic,Both,down,Minimal,Both,,5,0.4,0.4,0.8,1543,Habitat,Species,No guild,,,Land,Sexual,6 - 10 yr,mid,,r,No,No,No,None,No,No,,0,Data def,Data def,Data def,Data def,,,Possible,Uncertain,Low,Multiple,No,Uncertain,Not Expected,Secondary,,,,,,,,,,,,,,,,,,CR,,Listed,,,,
Uperoleia rugosa,Rugose Toadlet,ALA,13151,urn:lsid:biodiversity.org.au:afd.taxon:b5e6d104-a00d-4071-bdee-4554121ca5a5,Uperoleia rugosa,Rugose Toadlet,Base,39,Herps,Anurans,Ground frogs,1864,0.1,3,46,2.5%,1047,56.2%,7,0.67%,4,17,23,0,1,EN,"> 10,000",Minor in Vic,Both,down,Minimal,Both,,5,0.4,0.4,0.8,2462,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,2,Data def,Data def,Data def,Data def,,,Possible,Uncertain,Uncertain,Habitat loss,No,Uncertain,Not Expected,Secondary,,,,,,,,,,,,,,,,,,EN,,Listed,,,,
Uperoleia tyleri,Tyler's Toadlet,ALA,13931,urn:lsid:biodiversity.org.au:afd.taxon:2ff75d8c-430a-4387-bf5d-3cf5e9dd1647,Uperoleia tyleri,Tyler's Toadlet,Base,40,Herps,Anurans,Ground frogs,555,0.1,3,74,13.3%,261,47.0%,27,10.35%,3,7,8,0,1,DD,2K to 10K,Minor in Vic,Both,rapid,Minimal,Both,,5,0.4,0.4,0.8,1517,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,Data def,Data def,Data def,Data def,,,Possible,Uncertain,Uncertain,Habitat loss,No,Uncertain,Not Expected,Secondary,,,,,,,,,,,,,,,,,,DD,,,,,,
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,ALA,10640,urn:lsid:biodiversity.org.au:afd.taxon:3809b819-2ab1-4276-9f84-5a47216e96ec,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Base,41,SBird,Birds,Passerines,166416,0.1,3,31023,18.6%,45407,27.3%,6768,14.91%,7,65,50,0,1,OKAY,"> 10,000",Widespread,None,down,Extensive,Both,,6,100,100,200.0,569715,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,Yes,No,No,None,No,Yes,Phylogeny,1,Little,Data def,Data def,Data def,Few samples,Limited,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza apicalis,Inland Thornbill,ALA,10476,urn:lsid:biodiversity.org.au:afd.taxon:d4fd61cc-4c08-4244-8cc3-b66d1acced67,Acanthiza apicalis,Inland Thornbill,Base,42,SBird,Birds,Passerines,62661,0.1,3,5490,8.8%,18155,29.0%,1697,9.35%,6,57,41,3,4,OKAY,"> 10,000",Minor in Vic,Both,down,Medium,Both,,6,10,10,20.0,134031,Distance,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,No,No,None,No,Yes,Phylogeny,1,,,,,,,Unknown,Redundant,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,ALA,10486,urn:lsid:biodiversity.org.au:afd.taxon:5d5c0a59-3720-4682-b54e-cf15acc9cdd4,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Base,43,SBird,Birds,Passerines,304176,0.1,3,97298,32.0%,excess,,,,,,,0,1,OKAY,"> 10,000",Widespread,Recent,down,Modest,Both,,6,4,4,8.0,1569050,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Redundant,High,Habitat loss,Yes,Uncertain,Not Expected,Low,,,leachi,,,,,,,,,,,,,,,,,,,,,
Acanthiza iredalei,Slender-billed Thornbill,ALA,10482,urn:lsid:biodiversity.org.au:afd.taxon:b93e8c18-0c7a-4902-91a4-306172908d4a,Acanthiza iredalei hedleyi,Slender-billed Thornbill (Lowan Mallee),Base,44,SBird,Birds,Passerines,2618,0.1,3,589,22.5%,239,9.1%,100,41.84%,3,9,10,3,4,NT,"> 10,000",Widespread,Historical,down,Medium,Both,,6,10,10,20.0,10275,Distance,Limited,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Habitat loss,No,No,Not Expected,Medium,,,hedleyi,,,,,,,,,,,,,,,NT,,Listed,,,,
Acanthiza lineata,Striated Thornbill,ALA,10470,urn:lsid:biodiversity.org.au:afd.taxon:ab945317-2d4a-4ee8-93b1-ae21974ef6d7,Acanthiza lineata,Striated Thornbill,Base,45,SBird,Birds,Passerines,165238,0.1,3,68239,41.3%,511,0.3%,225,44.03%,5,18,26,2,3,OKAY,"> 10,000",Widespread,Recent,down,Modest,Both,,6,4,4,8.0,1052345,Distance,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,No,No,None,No,Yes,Phylogeny,1,,,,,,,Possible,Uncertain,High,Habitat loss,Yes,Uncertain,Not Expected,Medium,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza nana,Yellow Thornbill,ALA,10471,urn:lsid:biodiversity.org.au:afd.taxon:3c1baf33-4255-44cc-bd41-b660b96994ad,Acanthiza nana,Yellow Thornbill,Base,46,SBird,Birds,Passerines,133727,0.1,3,37367,27.9%,356,0.3%,81,22.75%,5,21,30,2,3,OKAY,"> 10,000",Widespread,None,down,Medium,Both,,6,10,10,20.0,619498,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,Yes,No,No,None,No,Yes,Phylogeny,1,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza pusilla,Brown Thornbill,ALA,10475,urn:lsid:biodiversity.org.au:afd.taxon:96af4c12-efff-4535-b157-9447a6cd1831,Acanthiza pusilla,Brown Thornbill,Base,47,SBird,Birds,Passerines,402981,0.1,3,174260,43.2%,excess,,,,,,,0,1,OKAY,"> 10,000",Widespread,Recent,okay,Modest,Both,,6,4,4,8.0,2668361,Distance,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,No,No,None,No,Yes,Phylogeny,1,,,,,,,Possible,Redundant,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,,pusilla,,,,,,,,,,,,,,,,,,,,,
Acanthiza reguloides,Buff-rumped Thornbill,ALA,10484,urn:lsid:biodiversity.org.au:afd.taxon:63045651-60a2-4cfe-9e47-09378ac83196,Acanthiza reguloides,Buff-rumped Thornbill,Base,48,SBird,Birds,Passerines,82766,0.1,3,33122,40.0%,175,0.2%,48,27.43%,5,19,28,2,3,OKAY,"> 10,000",Widespread,Recent,down,Medium,Both,,6,10,10,20.0,513352,Distance,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,No,No,None,No,Yes,Phylogeny,1,,,,,,,Possible,Uncertain,Medium,Habitat loss,Yes,Uncertain,Not Expected,Medium,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza uropygialis,Chestnut-rumped Thornbill,ALA,10481,urn:lsid:biodiversity.org.au:afd.taxon:5ff7a2ae-505d-4ea2-92af-66a793be3e48,Acanthiza uropygialis,Chestnut-rumped Thornbill,Base,49,SBird,Birds,Passerines,64309,0.1,3,12431,19.3%,19216,29.9%,3524,18.34%,7,53,41,0,1,OKAY,"> 10,000",Widespread,None,down,Medium,Both,,6,10,10,20.0,225912,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Acanthorhynchus tenuirostris,Eastern Spinebill,ALA,10591,urn:lsid:biodiversity.org.au:afd.taxon:2f83aaa8-ddcb-487b-852d-2262d0c84e3c,Acanthorhynchus tenuirostris,Eastern Spinebill,Base,50,SBird,Birds,Passerines,300626,0.1,3,77477,25.8%,excess,,,,,,,0,1,OKAY,"> 10,000",Widespread,Historical,down,High +,Both,,6,40,40,80.0,1307827,Habitat,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter cirrocephalus,Collared Sparrowhawk,ALA,10222,urn:lsid:biodiversity.org.au:afd.taxon:5da8abb3-75e5-460a-933d-c0918d49dc11,Accipiter cirrocephalus,Collared Sparrowhawk,Base,51,OBird,Birds,Raptors,52957,0.1,3,12742,24.1%,16957,32.0%,4353,25.67%,8,85,56,1,2,OKAY,"> 10,000",Widespread,None,unsure,Extensive,Both,,6,100,100,200.0,218603,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,Accipiter cirrhocephalus,,,,,,,,,,,,,,,,,,,,,,
Accipiter fasciatus,Brown Goshawk,ALA,10221,urn:lsid:biodiversity.org.au:afd.taxon:1cc98443-ce0f-47fd-a47e-912a3272bd71,Accipiter fasciatus,Brown Goshawk,Base,52,OBird,Birds,Raptors,115772,0.1,3,36374,31.4%,32134,27.8%,9781,30.44%,8,86,57,2,3,OKAY,"> 10,000",Widespread,None,down,Extensive,Both,,6,100,100,200.0,588634,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter novaehollandiae,Grey Goshawk,ALA,10220,urn:lsid:biodiversity.org.au:afd.taxon:77bf4e01-90bc-4763-b70b-6e699e61a44e,Accipiter novaehollandiae,Grey Goshawk,Base,53,OBird,Birds,Raptors,26089,0.1,3,3578,13.7%,9234,35.4%,1625,17.60%,8,53,45,0,1,VU,Unknown,Widespread,None,down,Extensive,Both,,6,100,100,200.0,72603,Distance,Species,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Habitat loss,No,No,Not Expected,Medium,,,,,,,,,,,,,,,,,,VU,,Listed,,,,
Acrocephalus australis,Australian Reed-Warbler,ALA,10524,urn:lsid:biodiversity.org.au:afd.taxon:a293c570-af2b-4d37-b807-dfada59260a7,Acrocephalus australis,Reed-Warbler,Base,54,SBird,Birds,Passerines,128450,0.1,3,44794,34.9%,22498,17.5%,7933,35.26%,8,73,54,2,3,OKAY,"> 10,000",Widespread,Recent,okay,High +,Both,,6,40,40,80.0,710772,Habitat,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,Yes,No,No,None,No,Yes,Phylogeny,3,,,,,,,Unknown,Redundant,High,Aridity,Uncertain,Uncertain,Not Expected,Low,,Acrocephalus stentoreus,,,Australian Reed Warbler,,,,,,,,,,,,,,,,,,,
Actitis hypoleucos,Common Sandpiper,ALA,10157,urn:lsid:biodiversity.org.au:afd.taxon:920b5569-aa29-4311-9f33-13bac4512b1d,Actitis hypoleucos,Common Sandpiper,Base,55,OBird,Birds,"Waders, gulls",32081,0.1,3,2192,6.8%,992,3.1%,95,9.58%,7,,38,0,1,VU,"> 10,000",Widespread,None,rapid,Extensive,Both,,6,100,100,200.0,60577,Distance,Species,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,Yes,No,Yes,None,No,Yes,Limited,3,Little,Low,Data def,Normal,Few samples,Limited,Unknown,Redundant,Not likely,Habitat loss,No,No,Not Expected,Low,,Tringa hypoleucos,,,,,,,,,,,,,,,,VU,,,,,,
Aegotheles cristatus,Australian Owlet-nightjar,ALA,10317,urn:lsid:biodiversity.org.au:afd.taxon:a700ca1f-a686-4b2b-9168-5edef5dd7505,Aegotheles cristatus,Australian Owlet-nightjar,Base,56,OBird,Birds,Owl group,55865,0.1,3,10815,19.4%,25030,44.8%,4423,17.67%,8,85,55,2,3,OKAY,"> 10,000",Widespread,None,okay,Medium,Both,,5,10,10,20.0,196460,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Habitat loss,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Alisterus scapularis,Australian King-Parrot,ALA,10281,urn:lsid:biodiversity.org.au:afd.taxon:3aca9928-daf5-416d-a343-60e194b2c2c2,Alisterus scapularis,Australian King-Parrot,Base,57,OBird,Birds,Parrots,203452,0.1,3,30177,14.8%,38136,18.7%,8136,21.33%,6,28,37,2,3,OKAY,"> 10,000",Widespread,None,down,Extensive,Both,,6,100,100,200.0,595753,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Amytornis striatus,Striated Grasswren,ALA,10513,urn:lsid:biodiversity.org.au:afd.taxon:81a59e1d-8018-4c19-a3e7-1e9bb5df006d,Amytornis striatus,Striated Grasswren,Base,58,SBird,Birds,Passerines,4124,0.1,3,1428,34.6%,870,21.1%,389,44.71%,6,24,15,2,3,NT,2K to 10K,Minor in Vic,Recent,down,Medium,Both,,6,10,10,20.0,22688,Habitat,Species,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,Yes,No,No,Other,No,Yes,Phylogeny,2,,,,,,,Unknown,Uncertain,Low,Habitat loss,Uncertain,Uncertain,Not Expected,Primary,,,,,,,,,,,,,,,,,,NT,,,,,,
Anas castanea,Chestnut Teal,ALA,10210,urn:lsid:biodiversity.org.au:afd.taxon:fbef87a7-34cc-4eca-9c32-b951c51c840c,Anas castanea,Chestnut Teal,Base,59,OBird,Birds,Anatids,223986,0.1,3,114751,51.2%,30458,13.6%,14819,48.65%,8,68,55,0,1,OKAY,"> 10,000",Widespread,Historical,okay,Extensive,Both,,6,100,100,200.0,1715749,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,Yes,No,Yes,Allozyme,Yes,Yes,Useful,4,Moderate,Low,Data def,Normal,,Reasonable,Unknown,Redundant,High,Not expected,Uncertain,Uncertain,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Anas gracilis,Grey Teal,ALA,10211,urn:lsid:biodiversity.org.au:afd.taxon:d6d85b3a-8cfa-4fbe-9d4e-9d1e5f6670dc,Anas gracilis,Grey Teal,Base,60,OBird,Birds,Anatids,369223,0.1,3,116993,31.7%,excess,,,,,,,0,1,OKAY,"> 10,000",Widespread,None,down,Extensive,Both,,6,100,100,200.0,1890132,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,Yes,No,Yes,Allozyme,Yes,Yes,Useful,7,Little,Low,Data def,Normal,,Reasonable,Unknown,Redundant,Not likely,Hybridization,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,
Anas rhynchotis,Australasian Shoveler,ALA,10212,urn:lsid:biodiversity.org.au:afd.taxon:c3c32804-1bf0-4ff2-9205-d5695b2c34f8,Spatula rhynchotis,Australasian Shoveler,Base,61,OBird,Birds,Anatids,30426,0.1,3,6060,19.9%,5706,18.8%,1062,18.61%,8,60,53,1,2,VU,"> 10,000",Widespread,Historical,down,Extensive,Both,,6,100,100,200.0,109206,Distance,Species,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Multiple,No,No,Not Expected,Low,,Anas rhynchotis,,,,,,,,,,,,,,,,VU,,,,,,
Anas superciliosa,Pacific Black Duck,ALA,10208,urn:lsid:biodiversity.org.au:afd.taxon:da8a156f-95e2-4fcb-a6e7-52721705a70c,Anas superciliosa,Pacific Black Duck,Base,62,OBird,Birds,Anatids,655097,0.1,3,206747,31.6%,excess,,,,,,,0,1,OKAY,"> 10,000",Widespread,None,okay,Extensive,Both,,6,100,100,200.0,3342808,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,Yes,Yes,No,None,No,Yes,Markers,6,Data def,Data def,Data def,Data def,Few samples,Limited,Unknown,Redundant,Not likely,Hybridization,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,
Anhinga novaehollandiae,Australasian Darter,ALA,10101,urn:lsid:biodiversity.org.au:afd.taxon:da8e2ea0-44a8-46a5-9fa4-c5b286e12417,Anhinga novaehollandiae,Australasian Darter,Base,63,OBird,Birds,Pelican group,166470,0.1,3,26089,15.7%,1145,0.7%,79,6.90%,6,,32,0,1,OKAY,"> 10,000",Widespread,None,okay,Extensive,Both,,6,100,100,200.0,505627,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Anseranas semipalmata,Magpie Goose,ALA,10199,urn:lsid:biodiversity.org.au:afd.taxon:e6c44fa1-6428-42b4-a5f3-1315783484b0,Anseranas semipalmata,Magpie Goose,Base,64,OBird,Birds,Anatids,109551,0.1,3,4834,4.4%,50472,46.1%,857,1.70%,8,52,46,0,1,NT,"> 10,000",Widespread,Recent,down,Extensive,Both,,6,100,100,200.0,172393,Distance,Species,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,Yes,No,None,No,Yes,Limited,2,Little,Data def,Data def,Data def,Sample bias,Limited,Unknown,Low,Not likely,Not expected,Uncertain,Uncertain,Not Expected,Medium,,,,,,,,,,,,,,,,,,NT,,Listed,,,,
Anthochaera carunculata,Red Wattlebird,ALA,10638,urn:lsid:biodiversity.org.au:afd.taxon:285bf48d-0b9b-4575-aec9-60b7d05483e8,Anthochaera carunculata,Red Wattlebird,Base,65,SBird,Birds,Passerines,677696,0.1,3,308527,45.5%,excess,,,,,,,0,1,OKAY,"> 10,000",Widespread,None,okay,Extensive,Both,,6,100,100,200.0,4688547,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Anthochaera chrysoptera,Little Wattlebird,ALA,10637,urn:lsid:biodiversity.org.au:afd.taxon:492e2fe8-32e7-4cea-8337-c48d0c98a11e,Anthochaera chrysoptera,Little Wattlebird,Base,66,SBird,Birds,Passerines,180725,0.1,3,57602,31.9%,29922,16.6%,9002,30.09%,7,40,45,3,4,OKAY,"> 10,000",Widespread,Historical,down,High +,Both,,6,40,40,80.0,929551,Distance,Generic,No guild,,,Veg cover,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Redundant,Medium,Habitat loss,Yes,Uncertain,Not Expected,Low,,,chrysoptera,,,,,,,,,,,,,,,,,,,,,
Anthochaera phrygia,Regent Honeyeater,ALA,10603,urn:lsid:biodiversity.org.au:afd.taxon:83225d29-264f-4236-9dda-32f7d60fb3af,Anthochaera phrygia,Regent Honeyeater,Base,67,SBird,Birds,Passerines,6984,0.1,3,1730,24.8%,2708,38.8%,615,22.71%,5,15,25,0,1,CR,50 to 499,Vic + 1 state,None,rapid,Extensive,Both,,6,100,100,200.0,29474,Distance,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,No,Yes,No,None,No,Yes,Useful,2,Little,Low,Low,Moderate,,Extensive,Unknown,Low,Medium,Multiple,No,No,Not Expected,Secondary,,Xanthomyza phrygia,,,,,,,,,,,,,,,,CR,CR,Listed,,,,
Anthus novaeseelandiae,Australian Pipit,ALA,10647,urn:lsid:biodiversity.org.au:afd.taxon:0ef0c924-9823-44a7-9c12-cfbd03c0c75a,Anthus australis,Australian Pipit,Base,68,SBird,Birds,Passerines,196382,0.1,3,43975,22.4%,9417,4.8%,5772,61.29%,8,63,51,0,1,OKAY,"> 10,000",Widespread,None,okay,Extensive,Both,,6,100,100,200.0,768057,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,Sibling sp.,0,,,,,,,Unknown,Redundant,High,Not expected,Uncertain,Uncertain,Not Expected,Low,,Anthus novaeseelandiae,,,,,,,,,,,,,,,,,,,,,,
Aphelocephala leucopsis,Southern Whiteface,ALA,10466,urn:lsid:biodiversity.org.au:afd.taxon:72e91e1a-63eb-488c-95d5-f4dd467b7fe8,Aphelocephala leucopsis,Southern Whiteface,Base,69,SBird,Birds,Passerines,55027,0.1,3,10747,19.5%,15375,27.9%,2977,19.36%,7,45,38,2,3,OKAY,"> 10,000",Widespread,Both,down,High +,Both,,6,40,40,80.0,194738,Distance,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Medium,Habitat loss,Yes,Uncertain,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Apus pacificus,Fork-tailed Swift,ALA,10335,urn:lsid:biodiversity.org.au:afd.taxon:698f5cfc-4b81-4ed3-aebd-750d1f86a573,Apus pacificus,Fork-tailed Swift,Base,70,OBird,Birds,Other birds,12035,0.1,3,1922,16.0%,4531,37.6%,927,20.46%,8,78,60,1,2,OKAY,"> 10,000",Widespread,None,okay,Extensive,Both,,6,100,100,200.0,37021,Distance,Generic,No guild,,,Flight,Sexual,11 - 20 yr,long,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,High,Not expected,Uncertain,Uncertain,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Aquila audax,Wedge-tailed Eagle,ALA,10224,urn:lsid:biodiversity.org.au:afd.taxon:255f7bee-4487-4996-8e48-e7efb1631c2b,Aquila audax,Wedge-tailed Eagle,Base,71,OBird,Birds,Raptors,193603,0.1,3,49052,25.3%,61681,31.9%,15496,25.12%,8,85,56,2,3,OKAY,"> 10,000",Widespread,None,down,Extensive,Both,,6,100,100,200.0,831279,Distance,Generic,No guild,,,Flight,Sexual,11 - 20 yr,long,,K,Yes,Yes,No,Genomic,No,Yes,Useful,4,Moderate,Data def,Data def,Data def,Sample bias,Reasonable,Unknown,Redundant,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,,audax,,,,,,,,,,,,,,,,,,,,,
Ardea alba,Eastern Great Egret,ALA,903268,NZOR-6-71481,Ardea alba,Great Egret,Base,72,OBird,Birds,Pelican group,145817,0.1,3,40920,28.1%,24324,16.7%,7136,29.34%,8,81,58,0,1,VU,"> 10,000",Widespread,None,down,Extensive,Both,,6,100,100,200.0,677777,Distance,Limited,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,Yes,Yes,No,None,No,Yes,Limited,0,Moderate,Data def,Data def,Data def,Sample bias,Limited,Unknown,Redundant,Not likely,Habitat loss,No,No,Not Expected,Medium,,,modesta,,,,,,,,,,,,,,,VU,,Listed,,,,
Ardea ibis,Cattle Egret,ALA,10977,urn:lsid:biodiversity.org.au:afd.taxon:4d70c7c0-1d4a-41c5-90d4-93871cbf2a3c,Bubulcus coromandus,Eastern Cattle Egret,Base,73,OBird,Birds,Heron group,136434,0.1,3,8777,6.4%,19888,14.6%,1901,9.56%,8,77,59,1,2,OKAY,"> 10,000",Widespread,None,okay,Extensive,Both,,6,100,100,200.0,250535,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,Yes,Yes,No,Other,No,Yes,Limited,10,Little,Low,High,Data def,Sample bias,Limited,Unknown,Redundant,High,Not expected,Uncertain,Yes,Not Expected,Low,,"Ardea ibis, Bubulcus ibis, Ardeola ibis, Ardea ibis coromanda",ibis,,,,,,,,,,,,,,,,,,,,,
